epoch,learning_rate,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_accuracy
1,0.0001,0.04449468514245326,0.9841305469062563,0.9692886644217058,0.02551561832169901,0.9881734497934939,0.9766874564699379,0.9918663632797907,0.9845718371580883,0.992966557482639,0.9890517728874483
2,0.0001,0.02519093752652688,0.9880884291316573,0.9765489227414447,0.02256246741176639,0.989111894943628,0.9785212601523802,0.9904019976236734,0.9878866893340306,0.9916334908051663,0.9898885962474777
3,0.0001,0.023838646777421403,0.9885149532194271,0.9773779622155705,0.0222283656602299,0.9892773369708693,0.9788464214428362,0.9891096321215113,0.9895107054925827,0.9905010142240179,0.9900296797235328
4,0.0001,0.023101416610887295,0.9887896893428559,0.9779097696167877,0.023565636540998715,0.9892303238073027,0.9787494231419391,0.9896496685154467,0.988869742815753,0.9909777517419264,0.9900011757770216
5,0.0001,0.022453345896984864,0.989037138081893,0.9783892921791206,0.02036251035709697,0.9899268004908619,0.9801126750836889,0.9887706393218902,0.9911406453115394,0.9901984915675888,0.9906295207609613
6,0.0001,0.021949384577724225,0.9891931595960712,0.9786920079468511,0.0210818072040397,0.9898843007633485,0.9800341224454971,0.9907597958682531,0.9890717910714897,0.9919493392289404,0.9906059460467603
7,0.0001,0.021440876166875202,0.989394238171554,0.9790860846745558,0.02072762882797025,0.989773056772818,0.9798163380249437,0.9892891198396683,0.9903171803936901,0.9905854775963059,0.9904941306056747
8,0.0001,0.02090052094608658,0.989594972732158,0.9794675455357993,0.02006918958287282,0.9901870695582355,0.9806163197899439,0.9893392819956125,0.9910858743880169,0.99073315708034,0.9908925539039704
9,0.0001,0.020605718398100364,0.9897805466072296,0.9798281341509892,0.019438042013670307,0.990313659769943,0.9808657404529043,0.9909646868346685,0.9897164935807148,0.9921475708125586,0.9910203893500639
10,0.0001,0.020549691556089777,0.9897930967038242,0.9798551698413243,0.01967209133499089,0.9902991033103092,0.9808368871369993,0.9911928807037422,0.9894558385194067,0.9923106521727091,0.9910028526581913
11,0.0001,0.019972326768025694,0.9899773165026715,0.9802136151418905,0.020615211023152412,0.9896371386137354,0.9795469830194151,0.9886142198579857,0.9907215925225292,0.9899364372333849,0.9903439125382757
12,0.0001,0.01985100230216845,0.9900227837987376,0.9803006738795564,0.019238080935979104,0.990684765469597,0.9815918253846916,0.9917314522955791,0.9896902165499079,0.9927947192666042,0.9913604431841747
13,0.0001,0.019799984264493035,0.9900636980109685,0.9803837525615066,0.01909646215983274,0.9905435679906822,0.9813172100897295,0.9918743722051023,0.9892650230462292,0.992923249681312,0.9912325474153082
14,0.0001,0.019443149151749523,0.9901825730734927,0.9806126636259959,0.01907499149127538,0.9906362232314535,0.9814957073294973,0.9915581332990923,0.9897639873516129,0.992641333355961,0.991314098059413
15,0.0001,0.019179376118903274,0.9903088144285808,0.9808567530616539,0.018571926404284424,0.9906511875879334,0.9815255204238087,0.9906466030571834,0.9907060145254595,0.9918680812220976,0.9913329762148569
16,0.0001,0.019052892980310276,0.9903880471821415,0.9810147220659095,0.019423551487186587,0.9900175304297941,0.9803011501768986,0.9906718409564121,0.9894319356205952,0.9918483772191656,0.9907405117908156
17,5e-05,0.018195155810068333,0.9907202744942964,0.9816620827576222,0.018863813241898834,0.9904839026640697,0.9812056158321449,0.9910705380411033,0.9899521689099001,0.9922085828091725,0.9911751546055437
18,5e-05,0.017890734320647788,0.9908145818452918,0.9818441249056103,0.01851396589730698,0.9907420812601067,0.9817084165581738,0.9911090808819576,0.9904277127191244,0.992232405636684,0.9914044414658144
19,5e-05,0.017714667032381733,0.9909005753271262,0.9820124006082356,0.018539692777354854,0.9905878454446793,0.981404489601951,0.9910409933472254,0.9901905415287937,0.9921904737690845,0.991267138216869
20,5e-05,0.01758005906307065,0.9909574725394791,0.9821221561826099,0.018470099434278995,0.9909588211631201,0.9821273241057453,0.9918405582387764,0.9901266936437193,0.9928765901959086,0.9916155395737614
21,5e-05,0.017472039100954153,0.9910067947867592,0.9822179057455009,0.0184270520414035,0.9909069855888206,0.9820294592035822,0.9909270201102797,0.9909377904182457,0.9921125952737877,0.9915562049452081
