epoch,learning_rate,epoch_minutes,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_loss
1,0.0003,11.152872868378957,0.9244987685012546,0.9010765844553132,0.9058847371315891,0.9010765844553132,0.9029351685527824,0.924404822382601,0.3448512529088184,0.9740331491712707,0.9582398198594392,0.9549447072574706,0.9582398198594392,0.9434691541373962,0.9725140349186743,0.11763411126413398
2,0.0003,8.468392781416576,0.9793752733466842,0.9751576068173713,0.970493902375933,0.9751576068173713,0.9727591502949549,0.9794029599359846,0.07349988644809684,0.9898710865561694,0.9880306580466811,0.9860128185763333,0.9880306580466811,0.9865957539634989,0.9899413509755863,0.03683719209174095
3,0.0003,8.510151227315268,0.9841631563197754,0.9819452342564227,0.9772051311666444,0.9819452342564227,0.9794777081787915,0.9841966112237688,0.052948411163329816,0.9900552486187846,0.9887539869623968,0.9882736933245295,0.9887539869623968,0.9883044928231863,0.990070821853661,0.03562436924619569
4,0.0003,8.475752691427866,0.9888129272840274,0.986350797881128,0.9840604317792737,0.986350797881128,0.985183434962993,0.9888269519606233,0.039186559414899964,0.9915285451197053,0.9882319418815909,0.990043360356825,0.9882319418815909,0.988933652861045,0.9915093499328164,0.035060776512671955
5,0.0003,8.412197935581208,0.9900559353635798,0.9880979301956287,0.9862007555044964,0.9880979301956287,0.9871361981565551,0.9900653153194833,0.03574674989232972,0.9913443830570903,0.9899066773243468,0.988105710919318,0.9899066773243468,0.9889403869602261,0.9913466979915461,0.026905871315946732
6,0.0003,8.652913335959116,0.9909076260847547,0.988877244383979,0.9862536543747249,0.988877244383979,0.9875326267668378,0.9909212227857352,0.0321308668077007,0.9930018416206261,0.991968782743672,0.9916270105975321,0.991968782743672,0.9917267453882651,0.9929960989887858,0.029023328683301326
7,0.0003,8.579286698500315,0.9915751674608108,0.990009274225689,0.9871163660030259,0.990009274225689,0.9885296560884568,0.9915870815332309,0.027154154817404068,0.9941068139963167,0.991640471192153,0.9934165971843706,0.991640471192153,0.9924571303448012,0.9940766994320648,0.03195144075138793
8,0.0003,8.388262669245401,0.992357802177566,0.9904378168983685,0.989345990974049,0.9904378168983685,0.989886370315131,0.9923617491111292,0.02827345539632409,0.9935543278084714,0.991489776278344,0.9898231172784004,0.991489776278344,0.9905005130040067,0.9935367197018734,0.022403557397956655
9,0.0003,8.470939715703329,0.994337407637594,0.9934177147935067,0.9922434592940625,0.9934177147935067,0.9928238569486577,0.9943412207890217,0.019428731012324774,0.9939226519337017,0.9920020446083422,0.9927611150659579,0.9920020446083422,0.9922806105014592,0.9938633356358273,0.02482004375301778
10,0.00015,8.498642404874166,0.9924728955182653,0.9909422599433794,0.9881889000964078,0.9909422599433794,0.989545229614993,0.992477902801055,0.025865711934448286,0.9933701657458563,0.9925584936077426,0.9858998690656215,0.9925584936077426,0.9889495351683043,0.993414992389121,0.02146977436252609
11,0.00015,8.36784257888794,0.997352853163916,0.9972362640777673,0.9954062686141875,0.9972362640777673,0.9963088010207575,0.9973547158728341,0.008641681568868811,0.9977900552486187,0.9969241160123318,0.9967450118533175,0.9969241160123318,0.9968279505323262,0.9977892820109932,0.010500588704625866
12,0.00015,8.335101608435313,0.9977671891904334,0.9978196295261782,0.9973401200995333,0.9978196295261782,0.9975786927213666,0.9977671499203834,0.007388409935855921,0.996500920810313,0.9954615834249436,0.9953407994546603,0.9954615834249436,0.9953889594429831,0.9965138516520319,0.0168426598094503
13,0.00015,8.412559258937836,0.9982275625532306,0.9979421932394473,0.9977470343933849,0.9979421932394473,0.9978432114661369,0.9982279587513648,0.006525816661515977,0.9976058931860037,0.9959563122566424,0.99650475367184,0.9959563122566424,0.9962111523552913,0.9976019499612534,0.013517351177594264
14,7.5e-05,8.602775498231251,0.9981354878806712,0.997366790552809,0.9970105984386769,0.997366790552809,0.9971876382786099,0.9981360360628556,0.006838125470937532,0.9966850828729282,0.9946521160309845,0.9954785275503673,0.9946521160309845,0.9950327347713261,0.9966753431037392,0.017706028036878256
15,7.5e-05,8.491992894808451,0.9990332159381258,0.9987936996339142,0.9985791144349512,0.9987936996339142,0.9986860128145921,0.9990335380261715,0.0037713596590322478,0.9972375690607734,0.9964859819390505,0.9963436165141588,0.9964859819390505,0.9963980851593337,0.9972332530892708,0.010602576386584388
16,7.5e-05,8.427220265070597,0.9984577492346293,0.9982208543826223,0.9975429697790067,0.9982208543826223,0.9978794709644998,0.9984581899736965,0.0044707046697162476,0.9987108655616943,0.9980241445540287,0.9980049607832104,0.9980241445540287,0.9980035842936346,0.9987093955662449,0.008455761576706092
17,7.5e-05,8.39769314924876,0.9991483092788251,0.9990232631526658,0.9988035265425538,0.9990232631526658,0.9989126998392568,0.9991485063027777,0.0029811922985702125,0.9977900552486187,0.9966847993406508,0.9969151119865426,0.9966847993406508,0.996794217915796,0.997787984171655,0.012723490591184
18,7.5e-05,8.668258444468181,0.9992173652832447,0.9991026139550465,0.9987927467452505,0.9991026139550465,0.9989470438827247,0.9992175324992492,0.0025141814286823634,0.9976058931860037,0.9967955167710295,0.9959905581758447,0.9967955167710295,0.9963425338947905,0.9976170716037559,0.011300535923186056
