epoch,learning_rate,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_accuracy
1,0.0001,0.036532059030958214,0.9820760404357104,0.9652196344068339,0.02564363306982959,0.9875425461185984,0.975454178560211,0.9896074411380722,0.9855479632156441,0.990972535078784,0.9884592366505818
2,0.0001,0.026721675930176988,0.9869411838599177,0.9742999162346339,0.024022610044578112,0.9882958953280047,0.9769213255270418,0.9865815090127739,0.9900705799999008,0.9882783844887492,0.9891175649252283
3,0.0001,0.02495266162787194,0.9877959736431261,0.9759635742811402,0.023450570026726788,0.9884783063667366,0.9772751295422933,0.9921073511422399,0.984929403088179,0.9931495604385813,0.989349362361862
4,0.0001,0.02380924640457533,0.9882795174601574,0.9769022896767743,0.02236865197465452,0.9892331413834928,0.9787514182817505,0.9882554456771139,0.9902701810540924,0.9897961040218193,0.9899966515690447
5,0.0001,0.02308370593883218,0.988568283670936,0.9774661226153779,0.021989529767264444,0.9892366101224739,0.9787601848323662,0.9894220577665123,0.9891068039529295,0.9907643856054329,0.9900126055062536
6,0.0001,0.022481643287524743,0.9888259763310837,0.977967127668223,0.021895323013213563,0.9890216948038124,0.9783427860722484,0.9889639477772885,0.9891393707100168,0.9903361115110926,0.9898087604936346
7,0.0001,0.02194471070040179,0.9890828690424466,0.9784689749038727,0.02094394824164639,0.989813917013536,0.9798860901809601,0.9899741939033371,0.9897023428635425,0.991271430289889,0.990553827170866
8,0.0001,0.021584387662619768,0.989271041558526,0.9788332967408966,0.020538822989013182,0.9899455748767738,0.9801400916044971,0.9897681946854994,0.9901675136692553,0.9910840508808573,0.9906685036349009
9,0.0001,0.021280663255665404,0.9893717497598454,0.9790234835069554,0.02065102783233735,0.9899405530059194,0.9801262281386249,0.9891655603087092,0.9907556357512991,0.9905474363680346,0.9906655305839447
10,0.0001,0.020975777124525488,0.9894890276023963,0.9792542149319474,0.020109778239268315,0.9900037678609411,0.9802567504615669,0.9907893868814032,0.9892652056303369,0.9920026859246105,0.990731888506786
11,0.0001,0.020775058826030132,0.9895699809253689,0.9794106238200647,0.02063955803098808,0.989705124353788,0.9796749362385416,0.9917077499340816,0.9877634660666248,0.9927786443247852,0.9904636216450886
