Model,Precision,Recall,F1,mAP50,mAP50-95,Test Images,Image Size,Batch Size,mAP50-95 Rank
YOLOv8s,0.9947368069967063,0.9957092200781182,0.9952227760054273,0.9942309905355928,0.9830023351672791,5296,320,16,1
YOLOv8n,0.9928320332868978,0.9918458829708994,0.9923387131283313,0.9940137411018536,0.9816247425477701,5296,320,16,2
YOLO11n,0.9931281496025782,0.9912070396592736,0.9921666646808301,0.993786918827339,0.9788320752367716,5296,320,16,3
