epoch,learning_rate,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,val_specificity,val_accuracy
1,0.0001,0.036833509017332164,0.9831489519313652,0.9672977398203512,0.02528764899466236,0.9876916551652873,0.9757572314984566,0.9878027726918223,0.9876547627209988,0.9893791724320766,0.9885871182330994
2,0.0001,0.026340864595982023,0.9871796093484849,0.9747830711460208,0.02431252516933906,0.9880687198097914,0.9764930390430944,0.985928371902506,0.9902901607012686,0.9876910413475338,0.988906259587069
3,0.0001,0.02466842535203849,0.9879019634338507,0.9761841116189406,0.02239516889062123,0.9890549539890642,0.9784093302598414,0.989220279187829,0.9889545734765347,0.9906241887477583,0.989854001590004
4,0.0001,0.023534457411569044,0.9884298295914871,0.9772086815153525,0.026301216717445754,0.9872785503128273,0.9749776776044539,0.9881793875492971,0.9864872425086895,0.9896061140503292,0.9882032495375359
5,0.0001,0.023192217636596242,0.9885268639250089,0.9774007297877554,0.021405729897674124,0.9893909513478544,0.979069926021596,0.9897014893453794,0.9891454863674093,0.9910668402045257,0.9901575719775499
6,0.0001,0.02242499598719458,0.9888119852342029,0.9779501515605247,0.02183431131878283,0.9894497482631955,0.9791869574612238,0.9901185450893594,0.9888530552859042,0.9914357586712196,0.9902113392988421
7,0.0001,0.022147972698852318,0.9889517712797865,0.978222931459236,0.021979454034905005,0.9894676277694098,0.979215677463914,0.9902820876531676,0.9887132896282428,0.9915699855004263,0.9902300529555469
8,0.0001,0.021744139799568216,0.9891877593401835,0.9786769592765932,0.029190758282520213,0.9881765236955204,0.9767698191086661,0.986371818192716,0.9901397766098183,0.9878128782740369,0.9889396186868874
9,0.0001,0.02136412723101294,0.9893324983210543,0.9789580465702086,0.0228289854110742,0.9889498235053311,0.9782425421523545,0.9882041544587128,0.9898022875622269,0.9896181661409564,0.9897216750323615
10,5e-05,0.02041056920993651,0.9896985869577783,0.9796725452477916,0.02020370896345393,0.9900761556499552,0.9804049398465018,0.9906561737953831,0.9895530196796306,0.9918624168964678,0.9907985630010238
11,5e-05,0.019974621999202722,0.9898942113316488,0.9800519742979876,0.020758127039273842,0.9896682614072332,0.9796273868757062,0.9888067533284189,0.9906069999634434,0.9901850234550034,0.9904122484705379
12,5e-05,0.019848935624204887,0.9899973150799288,0.9802491696588979,0.02071126484825696,0.9898187782330374,0.979909733920739,0.9892600532571999,0.9904422296068599,0.9905997552469098,0.9905438640186843
13,5e-05,0.019685689869407857,0.9900164774317217,0.9802873369723529,0.02275286969731225,0.9888761788999814,0.978117371454717,0.9883281039688392,0.9895475481619621,0.9896920482212761,0.9896543423858984
