epoch,learning_rate,epoch_minutes,train_total_loss,train_ce_original,train_ce_counterfactual,train_kd,train_consistency,train_original_macro_f1,train_counterfactual_macro_f1,val_original_accuracy,val_original_balanced_accuracy,val_original_macro_f1,val_counterfactual_accuracy,val_counterfactual_balanced_accuracy,val_counterfactual_macro_f1,val_selection_score
1,0.0003,28.20272594690323,1.6217218377386406,0.33612054240851724,0.40597247231719397,3.901314108835971,0.023173655748787363,0.9046391232249154,0.8786364644293494,0.9883977900552486,0.9862504404960571,0.9835419890902404,0.9675874769797421,0.9668954437077092,0.9587037317669364,0.9709640393736169
2,0.0003,24.086001284917195,0.3305489653674503,0.05777075064281695,0.10106968661409255,0.7749003723500071,0.013003426411326095,0.9792366676539634,0.9649032734425564,0.9917127071823204,0.9903218244049514,0.9859294635299888,0.9821362799263351,0.9818602995825527,0.9747482562398414,0.9803069782051352
3,0.0003,24.13281754255295,0.21995627953002123,0.0342588643282422,0.058698134505858826,0.5586779792261116,0.008017276955498195,0.9883007426939886,0.9785334297555852,0.9937384898710866,0.9913564496210673,0.9909090100341803,0.981767955801105,0.9803349521469331,0.9775264205619586,0.9841722239143627
4,0.0003,24.046394085884096,0.188762497317985,0.026666588442803972,0.05004916329300529,0.49170260678760597,0.00653354272572344,0.9912289087605631,0.9822375026614063,0.9922651933701657,0.9890172910454504,0.9894372114107055,0.9830570902394107,0.9804841833828952,0.9777565478832569,0.9835622013389183
5,0.0003,23.88630842367808,0.17157944571464795,0.022903092742369294,0.04158222336196567,0.46396545823062785,0.0059932817106282685,0.9911642793093728,0.9851452188115445,0.996316758747698,0.9937015377439993,0.993670652340818,0.9756906077348066,0.9769370776945978,0.9735475326935834,0.9835061705461187
6,0.0003,23.153087306022645,0.14695716161798208,0.01706898777409404,0.036243788776801254,0.4057586907083684,0.005062637920844987,0.9937007941778098,0.987241056638112,0.9930018416206261,0.9922428995647967,0.9912621721234169,0.9904235727440147,0.9889986551095484,0.9875548854562498,0.9894050560139245
7,0.0003,22.24748102426529,0.1330975933338777,0.016492092131883573,0.028403459638701636,0.37692737838108586,0.00428424697915982,0.9940847313386213,0.9894145980834801,0.9918968692449356,0.9882027014238162,0.9883854089438939,0.99097605893186,0.9864449987865231,0.9872283716733742,0.9878065514931139
8,0.0003,22.01629492441813,0.12678909615778783,0.013742662986200884,0.028356580320450214,0.36302358221076697,0.004092408119297075,0.9950191199045778,0.9890932174390595,0.9918968692449356,0.9906562403853496,0.9888719642597534,0.990791896869245,0.9875576403128626,0.9867466221257919,0.9878081499859833
9,0.0003,20.99591064453125,0.11508293333368509,0.012936787271144258,0.021091436896024253,0.34224048139326313,0.0030697914684527346,0.9952352773773093,0.991977794320768,0.9968692449355433,0.9959607761873047,0.995055600256641,0.9924493554327809,0.9918657268110523,0.9903204949735323,0.992682401021456
10,0.0003,19.541281616687776,0.11194625805911719,0.011036908796999827,0.022343121117667945,0.3332957693914615,0.003312264741541468,0.9954541118574324,0.99196103563201,0.9970534069981584,0.9958457788479337,0.9947253591043599,0.988950276243094,0.9887430335555124,0.9844901419950346,0.9895812856015408
11,0.0003,19.652066588401794,0.11387654399931098,0.012016911862751037,0.023938232183854703,0.3324057945615335,0.003218037726520809,0.9953625267095575,0.9921371791995007,0.9961325966850829,0.9953424682453438,0.9951853696653036,0.990791896869245,0.9897771547439339,0.9881463909417767,0.9916533893969662
12,0.00015,19.86526926755905,0.10247576338219999,0.009071901805699379,0.020652455355114015,0.3084861267369813,0.0031719537835359496,0.9972051732658569,0.9921984564946282,0.9952117863720074,0.9939308923655147,0.9924861538120002,0.9931860036832413,0.9918680441580499,0.9900384699285576,0.9912608008781066
