epoch,learning_rate,epoch_minutes,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_loss
1,0.0003,9.792467439174652,0.9369288492967797,0.9163448083608363,0.9217710805687649,0.9163448083608363,0.9186442817313917,0.9368643642025976,0.30179540199779376,0.987292817679558,0.9848440382411304,0.981811072661698,0.9848440382411304,0.9826771366868039,0.9871593723606077,0.045044910932786446
2,0.0003,7.041594791412353,0.9852450337223488,0.9818077909431914,0.9775001205782058,0.9818077909431914,0.9795388017213087,0.9852814886300437,0.05282322355525412,0.987292817679558,0.9889478867715901,0.9737193414453557,0.9889478867715901,0.9779605027416235,0.9880735769175613,0.03622489404516435
3,0.0003,7.036829217274984,0.989687636673342,0.9879113535358325,0.9846026292325727,0.9879113535358325,0.9861920264566676,0.9897055691472442,0.03887380553557421,0.9933701657458563,0.9919246382248195,0.9919817034967373,0.9919246382248195,0.991900004537404,0.993383232498085,0.023687617777817596
4,0.0003,7.0973668217659,0.9924959141864051,0.9905856692272019,0.9893473735253154,0.9905856692272019,0.9899552043296405,0.9925025332028007,0.02738765001311918,0.9955801104972376,0.9941795977440591,0.9926825681040807,0.9941795977440591,0.9933758679804287,0.9956008382779089,0.01880813933489587
5,0.0003,7.158574358622233,0.9917132794696499,0.9900740803614512,0.9866974769793633,0.9900740803614512,0.98834514643117,0.9917240646381227,0.028105205340062726,0.9953959484346224,0.9952049732439934,0.9931191822826612,0.9952049732439934,0.994112925376549,0.9954071458189988,0.013469579272507304
6,0.0003,7.146369489034017,0.9927261008678038,0.9917934836064268,0.9894201814356987,0.9917934836064268,0.9905887442708229,0.9927324171841875,0.02585724104650572,0.992817679558011,0.9916479840703704,0.990517255809884,0.9916479840703704,0.9909997147369891,0.9928487631462404,0.02853536185213325
7,0.0003,7.815128533045451,0.995189098358769,0.9942739658511512,0.992838038180416,0.9942739658511512,0.9935437505766249,0.9951950598189815,0.01743560338993509,0.9970534069981584,0.9962271995110076,0.9956022108600063,0.9962271995110076,0.9958826815675814,0.9970615606031128,0.01120723523748404
8,0.0003,7.1178092877070105,0.9952351356950487,0.994767116485954,0.9937823446800088,0.994767116485954,0.994267846597403,0.9952383824509696,0.01722110668120098,0.9966850828729282,0.9957435674469562,0.9938266098724167,0.9957435674469562,0.9946909895825732,0.9967006652859799,0.011763553633195954
9,0.0003,7.0736957828203835,0.9938309969385172,0.9921571369196942,0.9900453734207896,0.9921571369196942,0.9910808152027746,0.9938391651859207,0.021764201828607308,0.9970534069981584,0.9954022563030696,0.9943194621664804,0.9954022563030696,0.9948465547495478,0.9970646749459526,0.011979873364076916
10,0.00015,6.984075133005778,0.994843818336671,0.9935158640029776,0.991584491705261,0.9935158640029776,0.9925285744609545,0.99484989222066,0.01786141817230969,0.9966850828729282,0.9966593251061437,0.9905964796812342,0.9966593251061437,0.9932883341913651,0.996727419605771,0.011452931198274865
11,0.00015,6.8580285231272375,0.9979053011992726,0.9973606485569683,0.9959663881993779,0.9973606485569683,0.9966518852791628,0.9979079638472755,0.007010874619722772,0.9987108655616943,0.9974981330977846,0.9981917128524237,0.9974981330977846,0.997830044352777,0.9987069428522746,0.00615735484815313
12,0.00015,7.254549431800842,0.9987569919204475,0.9983462018945004,0.9979126924839455,0.9983462018945004,0.998126887110331,0.998757632202928,0.004896252391073775,0.998158379373849,0.9971101899468353,0.9970860471811193,0.9971101899468353,0.9970942214228874,0.9981595986910614,0.008596851477574413
13,0.00015,7.1290156165758765,0.9981354878806712,0.9978080099308775,0.9973756598296685,0.9978080099308775,0.9975895726830039,0.9981361935005795,0.006815583226350936,0.998158379373849,0.9970594548013345,0.9963635008990852,0.9970594548013345,0.9966970517608271,0.9981582926642818,0.010102255931104797
14,7.5e-05,7.113326303164164,0.9983656745620698,0.997996983323803,0.9974579356467217,0.997996983323803,0.9977260019346921,0.9983659376926864,0.005094041765570578,0.9979742173112339,0.996585720618814,0.9961740247493973,0.996585720618814,0.9963718712231141,0.9979745026660684,0.010949857464121771
15,7.5e-05,7.066119007269541,0.999171327946965,0.9990701502650443,0.9985709220492262,0.9990701502650443,0.998819121222194,0.9991714795218752,0.003052740559704071,0.9985267034990792,0.9969151024414181,0.9972515392910564,0.9969151024414181,0.9970794981188916,0.9985234812606012,0.008566821155300556
16,7.5e-05,7.108891344070434,0.9992864212876643,0.9991186225306996,0.9991289687843498,0.9991186225306996,0.999123431619579,0.9992864712074948,0.002587982788518028,0.9987108655616943,0.997421175315912,0.9974102104036313,0.997421175315912,0.99741431406006,0.9987108849425844,0.011065323921933698
